timestamp,Active_Energy_Delivered_Received,Current_Phase_Average,Active_Power,Performance_Ratio,Wind_Speed,Weather_Temperature_Celsius,Weather_Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Radiation_Global_Tilted,Radiation_Diffuse_Tilted
"2016-11-12 12:35:00",36655,17.866664886475,4.5837998390198,76.065132141113,,35.869476318359,15.423719406128,1112.0600585938,95.192199707031,194.41682434082,0,1095.6638183594,116.07621002197
"2016-11-12 12:40:00",36655,17.937999725342,4.5961999893188,77.10945892334,,35.227951049805,15.787403106689,1113.0661621094,102.70623779297,154.78698730469,0,1083.7486572266,115.09714508057
"2016-11-12 12:45:00",36656,17.847999572754,4.5695333480835,76.852600097656,,35.064590454102,16.61695098877,1115.1776123047,106.61814117432,137.12438964844,0,1081.0618896484,116.37882995605
"2016-11-12 12:50:00",36656,17.867332458496,4.5737333297729,77.10986328125,,35.310276031494,15.052737236023,1107.6343994141,105.84906005859,140.4333190918,0,1078.4456787109,119.71362304688
"2016-11-12 12:55:00",36657,18.092002868652,4.621066570282,77.666259765625,,35.016345977783,15.376182556152,1112.2445068359,107.64083862305,168.9303894043,0,1081.8004150391,120.88893127441
"2016-11-12 13:00:00",36657,18.129333496094,4.6233997344971,77.811561584473,,35.603553771973,14.862748146057,1105.9809570312,109.09159088135,137.89617919922,0,1080.3255615234,124.81072998047
"2016-11-12 13:05:00",36657,18.145334243774,4.6301999092102,78.297882080078,,35.106224060059,15.518927574158,1101.6602783203,114.68687438965,129.76028442383,0,1075.1943359375,125.76686096191
"2016-11-12 13:10:00",36658,17.802665710449,4.5411996841431,77.236167907715,,35.08171081543,15.677894592285,1087.6551513672,111.1360244751,128.58874511719,0,1069.0233154297,125.71321868896
"2016-11-12 13:15:00",36658,17.42799949646,4.4496002197266,76.729721069336,,35.026649475098,15.66938495636,1061.9875488281,111.16022491455,224.05352783203,0,1054.3739013672,125.27082061768
"2016-11-12 13:20:00",36658,17.549335479736,4.4809331893921,77.635780334473,,35.455780029297,14.990944862366,1065.1557617188,109.93911743164,217.74243164062,0,1049.4067382812,124.50338745117
"2016-11-12 13:25:00",36659,17.658668518066,4.5096001625061,77.959678649902,,35.354125976562,15.147729873657,1080.447265625,118.42967987061,197.7727355957,0,1051.732421875,127.45074462891
"2016-11-12 13:30:00",36659,17.521999359131,4.4762001037598,77.766975402832,,35.964534759521,14.787865638733,1085.5111083984,126.32920074463,201.04936218262,0,1046.5297851562,130.3062286377
"2016-11-12 13:35:00",36660,17.54400062561,4.4750666618347,78.373054504395,,36.405025482178,14.22482585907,1086.9007568359,140.9241027832,219.84674072266,0,1038.173828125,131.20252990723
"2016-11-12 13:40:00",36660,17.498666763306,4.4603333473206,78.738708496094,,35.467555999756,14.581239700317,1086.1910400391,148.76843261719,174.2272644043,0,1029.9505615234,131.61610412598
"2016-11-12 13:45:00",36660,17.479333877563,4.4524660110474,79.458847045898,,35.706027984619,14.412087440491,1067.1619873047,143.13896179199,169.69819641113,0,1018.8157348633,131.36531066895
